id,SeriousDlqin2yrs,age,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTimes90DaysLate,NumberOfTime60-89DaysPastDueNotWorse,MonthlyIncome,NumberOfDependents,DebtRatio
341,0,30,0,0,0,5417,2,0.253045
342,1,31,1,0,2,3300,2,0.275977
343,1,59,2,1,0,2600,0,0.000769
344,1,50,0,1,1,NULL,0,990
345,1,61,3,0,2,4831,0,0.656664
346,0,47,0,0,0,3104,0,0.689211
347,0,76,0,0,0,4166,0,0.00312
348,1,38,0,1,0,7166,0,0.284777
349,0,51,0,0,0,7350,2,0.258196
350,1,49,0,0,0,21533,0,0.649902
351,0,28,0,0,0,6250,0,0.121581
352,0,39,0,0,0,5377,1,0.26534
353,1,59,0,0,0,5416,0,0.400037
354,0,58,0,0,0,NULL,0,1559
355,1,31,3,4,0,2665,0,0.735934
356,0,51,0,0,0,10600,2,0.136402
357,0,60,0,0,0,NULL,0,7868
358,1,59,0,1,0,5200,0,0.453567
359,1,45,1,2,2,5800,0,0.423548
360,1,59,1,1,1,5893,1,0.223787
361,0,50,0,0,0,2941,0,0.418763
362,0,59,0,0,0,5416,0,0
363,1,42,0,0,0,2279,3,0.145175
364,0,42,0,0,0,4208,0,0.65455
365,0,78,1,1,0,NULL,NULL,3775
366,0,49,0,0,0,3770,0,0.147971
367,1,50,0,0,0,10890,0,0.795703
368,0,67,0,0,0,NULL,0,1525
369,0,62,0,0,0,12833,0,0.54527
370,0,64,0,0,0,5000,0,0.35113
371,0,25,0,0,0,850,0,0
372,0,42,0,0,0,7000,1,0.416226
373,1,56,1,0,1,4166,2,0.87953
374,0,43,0,0,0,3750,2,2.153559
375,0,55,0,0,0,9766,1,0.246135
376,0,41,0,0,0,10750,3,0.17496
377,0,55,0,0,0,5000,0,0.45211
378,0,67,2,0,0,7800,2,0.759262
379,0,55,0,0,0,4505,0,1.023302
380,0,75,1,0,0,2300,0,0.505867
381,1,62,1,2,1,3135,0,0.056441
382,0,32,0,1,1,1600,4,0.412867
383,0,78,0,0,0,5000,0,0.014397
384,0,57,0,0,0,8583,0,0.491146
385,0,82,0,0,0,NULL,NULL,2
386,1,57,2,1,1,4595,1,0.509574
387,0,47,1,0,0,NULL,0,650
388,1,49,1,4,1,3162,0,0.071451
389,0,67,0,0,0,NULL,0,2715
390,0,38,0,0,0,7259,1,0.55427
391,0,55,0,0,0,5443,0,0.701323
392,0,31,0,0,0,8500,0,0.588401
393,0,27,2,0,0,4250,1,0.070807
394,0,82,0,0,0,NULL,NULL,0
395,0,37,0,0,0,4861,2,0.374126
396,0,51,0,0,0,7361,2,0.356153
397,1,60,6,0,0,5000,0,0.682264
398,1,54,2,0,0,7480,2,1.196498
399,0,45,0,0,0,NULL,0,1815
400,0,21,0,0,0,1,0,0
401,0,49,0,0,1,8335,1,0.133397
402,0,43,0,0,0,13800,2,0.230635
403,1,40,0,0,0,900,3,2.688124
404,0,64,0,0,0,3000,0,0.137954
405,0,57,0,0,0,6034,1,0.299089
406,0,42,0,0,0,5000,2,0.683063
407,1,41,6,0,0,7250,3,0.506275
408,0,56,0,0,0,2786,0,0.006817
409,0,64,0,0,0,NULL,0,99
410,0,50,0,0,0,10750,2,0.297461
411,0,54,0,0,0,NULL,0,1343
412,1,23,0,2,1,NULL,0,111
413,1,58,0,0,0,6800,0,0.410528
414,0,33,0,0,0,8515,0,0.030296
415,0,42,0,0,0,NULL,0,5671
416,0,55,0,0,0,10000,1,0.374363
417,1,67,1,0,0,3160,0,1.523252
418,0,38,1,1,1,3000,0,0.362213
419,1,47,0,2,1,3270,2,0.313666
420,0,51,0,0,0,6914,2,0.33449
421,1,35,2,0,0,3800,0,0.364641
422,1,61,0,0,0,2050,0,1.732326
423,1,62,0,0,0,7900,0,0.153019
424,1,59,0,0,0,3000,1,1.168944
425,1,37,0,0,0,8900,3,0.268284
426,1,42,1,0,0,2600,2,1.131103
427,1,42,0,1,0,7350,1,0.393144
428,0,49,0,0,0,12450,2,0.413862
429,1,42,0,0,0,1300,2,0.714066
430,1,50,3,0,0,2000,3,0.191404
431,1,36,2,0,1,5000,2,0.394921
432,1,32,2,0,0,3383,1,0.638593
433,0,60,0,2,0,10416,2,0.198522
434,0,66,0,0,0,NULL,0,185
435,0,73,0,0,0,4000,0,0.006498
436,0,60,0,0,0,18200,0,0.267183
437,1,31,0,0,0,2857,0,0.145906
438,1,49,1,0,0,5380,2,0.253484
439,0,61,0,0,0,10000,1,0.0025
440,1,58,0,0,0,6666,0,0.414729
441,0,49,2,0,0,3900,0,0.026403
442,0,78,0,0,0,4516,0,0.262785
443,0,41,0,0,0,9300,0,0.321686
444,1,26,0,0,0,2200,0,0.1204
445,1,60,0,0,0,5427,1,0.148305
446,1,63,1,2,0,5467,0,0.106072
447,1,47,0,2,0,5573,2,0.221206
448,1,42,2,0,0,5000,0,0.581884
449,0,37,0,0,0,9314,0,0.513795
450,0,54,0,0,0,12000,2,0.260895
451,0,59,0,0,1,3243,0,0.423551
452,0,74,0,0,0,1300,0,0.279016
453,0,88,1,0,0,NULL,0,664
454,0,31,0,0,0,10000,0,0.309669
455,0,53,0,1,0,5984,1,0.572932
456,1,35,2,3,1,NULL,0,2323
457,1,54,0,0,0,4583,1,0.375436
458,0,48,0,0,0,3750,0,0.446548
459,0,69,0,0,0,3500,0,0.008855
460,0,25,0,0,0,NULL,NULL,291
461,1,55,0,1,0,13000,1,0.151988
462,0,50,0,0,0,12000,1,0.251479
463,1,50,1,1,0,10334,3,0.162361
464,0,49,0,0,0,4741,1,0.256432
465,0,52,0,0,0,2000,0,0.014993
466,0,34,0,0,0,6400,0,0.248242
467,1,47,1,0,1,4500,3,1.813375
468,0,46,0,0,0,7667,2,0.292123
469,1,34,0,0,0,2000,0,0.95902
470,1,37,0,0,0,6500,0,0.005691
471,0,31,0,1,0,2620,2,0.004197
472,1,23,0,1,1,1560,0,0.02114
473,0,35,1,0,0,4000,0,0.202949
474,0,64,0,0,0,5587,0,0.004832
475,0,90,0,0,0,NULL,0,0
476,1,46,1,2,1,3600,3,0.768675
477,0,84,0,0,0,2400,0,0.114952
478,1,50,2,0,0,NULL,0,1896
479,1,43,1,0,0,5663,0,0.696328
480,1,42,0,0,0,NULL,2,0
481,0,39,0,0,0,NULL,0,911
482,1,68,1,0,0,7500,0,0.342754
483,0,39,0,0,0,9228,0,0.203597
484,0,77,0,0,0,NULL,0,90
485,1,74,0,0,0,5501,0,0.68048
486,1,42,1,4,3,NULL,0,2449
487,1,71,0,0,0,2571,0,2.022939
488,1,31,1,0,0,NULL,0,994
489,1,22,1,1,1,280,0,0.174377
490,1,49,0,0,0,11482,0,0.000174
491,1,44,0,2,0,NULL,0,54
492,0,50,0,0,0,4000,0,0.412147
493,1,60,0,0,0,3600,0,0.01444
494,0,48,0,0,0,16000,6,0.302169
495,0,62,0,0,0,6340,0,0.755401
496,0,64,0,0,1,NULL,0,1962
497,0,36,0,0,0,20000,1,0.39063
498,1,70,0,0,0,4500,0,0.542768
499,1,48,2,0,0,11083,1,0.488993
500,0,63,0,0,0,3770,0,0.535137
501,0,44,0,0,0,3750,1,0.603306
502,0,40,0,0,0,8000,2,0.306837
503,0,40,1,0,1,5333,0,0.365017
504,0,69,0,0,0,8208,1,0.099525
505,0,66,0,0,0,NULL,0,48
506,0,58,1,0,0,10000,2,0.648035
507,0,84,0,0,0,0,0,0
508,0,72,0,0,0,2500,0,0
509,0,31,0,1,1,3600,3,0.024993
510,0,57,0,0,0,11710,0,0.275041
511,0,75,0,0,0,2077,0,0.067854
512,0,44,0,0,0,2970,0,0.468529
513,1,46,1,4,2,2335,3,0.831764
514,0,55,0,0,0,NULL,0,1768
515,0,63,1,0,1,7139,1,0.268207
516,1,50,3,0,2,3300,3,0.141472
517,1,41,0,0,0,1520,0,0.167653
518,0,62,0,0,0,5698,0,0.192841
519,0,64,0,0,0,10491,0,0.106271
520,0,33,0,0,0,8916,1,0.376808
521,1,85,0,0,0,5800,0,0.141183
522,1,39,1,0,0,5646,3,0.191606
523,0,55,0,0,0,11774,0,0.413673
524,1,59,1,0,0,10667,0,0.360049
525,0,64,0,0,0,NULL,NULL,1307
526,0,39,0,0,0,7820,3,0.131313
527,1,39,2,1,0,1785,8,0.1243
528,0,48,0,0,0,45800,0,0.033405
529,1,51,0,0,0,4230,0,0.170409
530,0,66,0,0,0,5000,0,0.052989
531,1,47,0,0,0,18275,0,0.220946
532,0,28,1,0,0,2550,0,0.109761
533,0,71,0,0,0,12600,0,0.002063
534,1,38,1,0,0,NULL,0,940
535,0,49,0,0,0,6500,2,0.287802
536,0,79,0,0,0,4915,0,0.456469
537,0,63,0,0,0,11288,3,0.175215
538,0,29,0,0,0,8500,1,0.644395
539,0,68,0,0,1,5000,0,0.216757
540,0,44,0,0,0,12604,2,0.509322
541,0,38,0,0,0,3332,3,0.274227
542,0,58,0,0,0,5400,0,0.021663
543,0,88,0,0,0,1200,0,0.022481
544,1,41,1,0,0,15000,3,0.860609
545,1,50,0,0,0,5644,0,0.230292
546,0,33,1,0,0,8678,0,0.143104
547,0,51,0,0,0,12121,5,0.180993
548,1,52,4,1,1,3200,0,1.821306
549,0,51,0,0,0,5720,0,0.003671
550,1,35,1,2,1,4500,3,0.179071
551,0,41,3,1,1,3779,2,0.149471
552,0,53,1,0,0,NULL,0,1076
553,0,38,0,0,0,9280,3,0.241353
554,1,48,1,3,0,7250,2,0.096814
555,0,26,0,0,0,820,0,0.71011
556,0,35,0,0,0,10250,2,0.281046
557,1,52,0,0,0,2600,1,0.749712
558,0,61,0,0,0,4600,1,0.762878
559,1,73,0,0,0,3333,0,0.020396
560,0,40,0,0,0,7936,0,0.407837
561,0,82,0,0,0,3050,0,0.009177
562,1,80,0,0,0,750,0,0.331558
563,1,29,2,1,2,1880,0,0.059543
564,0,53,0,0,0,14749,2,0.480881
565,1,54,0,0,0,1700,0,0.352146
566,0,49,0,0,0,5145,0,0.281578
567,0,45,0,0,0,7000,0,0.357949
568,0,62,0,0,0,9884,2,0.187152
569,0,36,0,0,0,1350,2,0.196151
570,0,46,0,0,0,8000,2,0.129609
571,0,60,2,0,1,11224,2,0.943875
572,0,75,0,0,0,13000,1,0.295823
573,0,67,0,0,0,NULL,1,1915
574,0,49,1,0,0,NULL,0,3995
575,0,62,0,0,0,3700,0,0.184004
576,1,46,0,0,0,5000,0,0.253949
577,0,50,0,0,0,10500,0,0.1976
578,0,34,0,0,0,1290,0,0.573199
579,0,53,0,0,0,5500,1,0.432467
580,0,36,0,0,0,10000,0,0.566143
581,0,34,0,0,0,4583,0,0.10733
582,0,49,0,0,0,5000,0,0.006199
583,1,45,0,1,1,NULL,0,735
584,1,63,1,0,0,NULL,0,2582
585,1,28,0,0,0,2750,0,0.267539
586,0,60,2,0,0,11308,0,0.328057
587,0,67,0,0,0,5000,0,0.238752
588,0,26,0,0,0,900,0,0
589,1,40,1,1,0,NULL,NULL,3483
590,0,37,0,0,0,3757,1,0.408994
591,1,28,3,0,1,3294,0,0.2
592,1,23,1,0,0,1923,0,0.074324
593,0,59,0,0,0,15997,1,0.410051
594,1,29,2,0,0,1900,1,0.38243
595,0,75,0,1,0,2600,0,0.798539
596,0,58,0,0,0,NULL,NULL,2831
597,1,70,1,3,0,12333,0,0.43295
598,1,41,1,3,2,5294,4,0.10916
599,1,39,5,1,2,5000,1,1.232553
600,1,46,1,1,0,NULL,0,1806
601,1,60,0,1,1,1000,0,0.297702
602,0,25,0,1,0,2500,0,0
603,0,57,0,0,0,2927,0,0.275273
604,0,53,0,0,0,10000,2,0.241776
605,0,72,0,0,0,NULL,0,1178
606,1,41,0,2,2,NULL,0,259
607,0,50,0,0,0,3750,0,0.303652
608,0,31,1,0,0,3300,0,0.013329
609,0,51,0,0,0,6600,2,0.01318
610,0,69,0,0,0,1500,0,0.01932
611,1,57,0,0,0,0,0,2945
612,0,47,0,0,0,7350,0,0.426609
613,0,44,0,0,0,3250,3,0.307598
614,0,52,0,0,0,5833,0,0.344532
615,0,51,1,0,0,2156,0,0.043579
616,0,48,0,0,0,1,1,1329.5
617,0,63,0,0,0,23833,0,0.374045
618,0,68,0,0,0,3800,1,0.412523
619,1,30,0,1,0,4300,1,0.02418
620,0,52,2,0,0,15000,2,0.40324
621,0,62,0,0,0,9832,1,0.000102
622,0,46,0,1,0,8700,1,0.286059
623,0,78,0,0,0,5000,0,0.060988
624,0,61,0,0,0,7550,3,0.521918
625,0,46,0,0,0,7000,3,0.342237
626,0,29,1,0,0,4966,0,0
627,0,28,0,0,0,3750,0,0.02666
628,0,76,0,0,0,900,0,0.085461
629,1,48,0,0,0,4584,0,0.362923
630,1,47,0,0,0,11750,2,0.47647
631,1,62,0,0,0,2100,0,0.260352
632,0,58,0,0,0,7221,2,0.339103
633,0,24,0,0,0,1990,0,0.127574
634,0,43,0,0,0,9100,2,0.163059
635,1,74,7,0,0,NULL,0,36
636,0,38,0,0,0,2432,0,0.210029
